,x_t,y_t,z_t,x_m,y_m,z_m,j1_t,j2_t,j3_t,j4_t,j5_t,j6_t
0,-0.306417777,-0.257115044,-0.1,-0.329040521,-0.280468779,-0.09995304,0.342280081,-0.77616716,2.35937985,-1.582914729,1.194996075,1.536417066
1,-0.331952592,-0.278541298,-0.1,-0.354550771,-0.30174461,-0.100206196,0.377293146,-0.772646536,2.268538735,-1.495598213,1.230009146,1.53642844
2,-0.357487407,-0.299967551,-0.1,-0.380132734,-0.323168637,-0.1004226709999999,0.405940313,-0.760770977,2.176034907,-1.414972747,1.258656308,1.536437182
3,-0.383022222,-0.321393805,-0.1,-0.405609886,-0.344596513,-0.100584225,0.429833208,-0.742286982,2.081466648,-1.338890609,1.2825492,1.536444378
4,-0.408557036,-0.342820058,-0.1,-0.4311559009999999,-0.365933211,-0.100796666,0.450074483,-0.718298451,1.984392843,-1.26580699,1.302790474,1.536450409
5,-0.434091851,-0.364246312,-0.1,-0.456730671,-0.387402965,-0.100982898,0.467452134,-0.689488528,1.884284184,-1.19450957,1.320168124,1.53645554
6,-0.459626666,-0.385672566,-0.1,-0.482303153,-0.408861374,-0.1011372949999999,0.482536779,-0.656229673,1.780517262,-1.124002567,1.335252768,1.536459962
7,-0.485161481,-0.407098819,-0.1,-0.507897492,-0.430219775,-0.101392175,0.495757104,-0.6186455,1.672301536,-1.053371887,1.348473093,1.536463814
8,-0.510696295,-0.428525073,-0.1,-0.53343486,-0.451634334,-0.101624538,0.50744059,-0.576623567,1.558606759,-0.981699772,1.360156578,1.536467201
9,-0.53623111,-0.449951327,-0.1,-0.559049115,-0.473017979,-0.101788679,0.517842823,-0.529784463,1.438025151,-0.907957882,1.370558811,1.536470204
10,-0.53623111,-0.449951327,-0.044444444,-0.5592068400000001,-0.4729709609999999,-0.046409463,0.517842823,-0.630407962,1.460421791,-0.82973105,1.370558809,1.536470184
11,-0.510696295,-0.428525073,-0.044444444,-0.533727554,-0.451565381,-0.046047483,0.507440757,-0.68225675,1.580835081,-0.898294889,1.360156745,1.536467106
12,-0.485161481,-0.407098819,-0.044444444,-0.508174144,-0.430203391,-0.045737695,0.495757415,-0.730046325,1.694672445,-0.964341947,1.348473404,1.536463706
13,-0.459626666,-0.385672566,-0.044444444,-0.4825279,-0.408736464,-0.045683663,0.482537249,-0.774252751,1.803301331,-1.028763528,1.335253238,1.536459835
14,-0.434091851,-0.364246312,-0.044444444,-0.4569840659999999,-0.387278754,-0.045531751,0.467452797,-0.815130337,1.907743335,-1.092326873,1.320168787,1.536455386
15,-0.408557036,-0.342820058,-0.044444444,-0.4314248049999999,-0.3658332239999999,-0.045354807,0.450075391,-0.852749026,2.008801634,-1.155765156,1.302791381,1.536450214
16,-0.383022222,-0.321393805,-0.044444444,-0.40586336,-0.34446616,-0.045151093,0.429832259,-0.886995409,2.107139015,-1.219854479,1.282548251,1.536444122
17,-0.357487407,-0.299967551,-0.044444444,-0.380308914,-0.3229974209999999,-0.044960775,0.405939431,-0.917539825,2.203333047,-1.285501934,1.258655425,1.536436828
18,-0.331952592,-0.278541298,-0.044444444,-0.354715594,-0.301580263,-0.044825664,0.37729254,-0.943756857,2.297921885,-1.353870877,1.230008537,1.536427919
19,-0.306417777,-0.257115044,-0.044444444,-0.329196471,-0.280269563,-0.0446110449999999,0.342280081,-0.964560299,2.391441947,-1.426583571,1.194996083,1.536416754
