step_order,x_t,y_t,z_t,x_dif,y_dif,z_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,-480.2696390248737,15.733233924978899,27.1075119179815,-23.79920697512631,-23.8867649249788,-1.3855759179815017,-24.398863898932195,-60.473832402819966,119.7472913620211,-59.235110730485765,24.458167501161075,88.00157290165446
1,-445.6009513524299,92.77244120754379,33.8719011403672,-24.088797647570118,-24.010767207543793,-1.2416211403672008,-36.36475751279919,-62.48534756055389,121.86174346647638,-59.30298007791059,12.492279189555196,87.964801417107
2,-469.0769448638053,130.0478016802403,113.4722684336664,-24.3667481361947,-23.6973746802403,-1.8675824336663993,-38.48390139368359,-68.56283429447446,113.40799516859572,-44.756963863573766,10.373137247039155,87.9497235511988
3,-494.82705798281404,124.09732150102181,218.74263257569172,-24.85844901718599,-23.202530501021812,-2.373259575691719,-35.8654607731348,-74.98490255435404,103.3300297301535,-28.274484062707298,12.991575510028452,87.96764417881163
4,-484.6083333899624,76.4394172828075,245.6407896752311,-24.783418610037586,-23.1478012828075,-2.4291696752311225,-31.45596429582255,-79.97292174460708,105.22812568732317,-25.202102294372803,17.4010694935305,87.98580768387549
5,-512.3739464155267,47.4421735451564,263.8505936193452,-24.91323958447333,-22.8967125451564,-2.442612619345198,-26.38517372910932,-78.45677706722181,100.47255493824434,-21.974230895607498,22.47185836032656,87.99808692333714
6,-482.721378806716,14.0413269180219,277.2255721457913,-24.802725193284004,-22.8703519180218,-2.400071145791401,-24.04346659333868,-83.84130958322466,104.7221258721408,-20.842975616342247,24.813564935721175,88.00213197784538
7,-465.7836816321303,-49.8073765595594,300.5069968516221,-24.806663367869646,-22.804500440440606,-2.380839851622113,-16.29730540678944,-87.9782773469334,105.59514448294435,-17.587359175755555,32.55972480718029,88.0116088648227
8,-426.6195750631771,-36.062490407836506,307.8487212544333,-24.806534936822914,-22.61304959216349,-2.264865254433346,-20.235088679642885,-93.75740377796414,110.15366805148469,-16.36307018271597,28.621945074421372,88.00732661775832
9,-468.6301304369643,-77.380903273087,333.92855180941325,-25.048035563035683,-22.562172726913005,-2.388185809413301,-12.27394064256014,-88.7012672069525,101.28357393985144,-12.555660991077222,36.5830890884134,88.01508273056325
10,-422.9356801519466,8.4823524159227,354.68945720356834,-25.100434848053396,-22.5378924159227,-2.365310203568356,-27.177303975667705,-95.04155158184025,104.3065599271173,-9.222016205737429,21.679728311592726,87.99652745985448
11,-482.0786971747198,46.611711310927795,391.6182138017249,-25.578849825280145,-22.487675310927795,-2.701252801724877,-28.12202614581355,-86.3905541483714,90.34120777545748,-3.9057991958121083,20.73500642347768,87.99452998862941
12,-568.2782954888482,34.381690792045106,346.492188967997,-25.541778511151733,-22.632190792045108,-2.8111439679970545,-22.17905753063464,-74.40134705185012,82.80721782820693,-8.370500545277634,26.677973615686295,88.00487432561695
13,-594.1208960146851,-43.9483434032353,337.79996312731606,-25.459564985314955,-22.776320596764705,-2.7920761273160792,-12.932077335667678,-71.71046897222901,80.54117711388668,-8.803641838523474,35.924952470918285,88.01456121235975
14,-633.8962394307041,-125.5770875795189,354.7192099581606,-25.593759569295912,-22.6588504204811,-2.842393958160642,-3.797483521291118,-65.7338842111528,69.71262168698712,-3.9563023252535126,45.059545440093586,88.02063153097731
15,-681.500981309267,4.8964410138657,381.9759968133785,-26.228822690732954,-22.8221930138657,-3.101103813378529,-15.545571265590787,-58.62810315978251,55.02946508686851,3.627550480265445,33.311458917554944,88.01231785504358
16,-605.5687569685247,19.965671097827602,271.9402124031534,-25.1190260314753,-22.9861810978275,-2.6102264031533764,-19.239722676558472,-67.48554302104914,84.5575155775756,-17.039830940743823,29.617301337413497,88.00853373886305
17,-690.7641365942515,10.911128414985,246.93782386812148,-25.33529340574853,-23.241689414985,-3.086215868121485,-15.850180730260425,-55.205796370318076,69.45696693523423,-14.222017849636801,33.00684940496241,88.01203140343164
18,-655.8040994968395,82.7388785038973,204.83415286270528,-25.128717503160487,-23.1554305038973,-2.792894862705282,-23.298884211189836,-56.47538071291161,78.00562050170555,-21.493430887961974,25.558147126591432,88.00327211847707
19,-637.783683633378,143.6219069051828,199.07735560427258,-25.22468836662199,-23.36722990518281,-2.8544506042725857,-29.28374891053382,-56.252207764478115,78.54445091252622,-22.244831860574774,19.573284927756692,87.99180405996346
20,-628.6651508253375,142.73331018318493,206.685195481513,-25.203374174662486,-23.255864183184926,-2.870959481513097,-29.641476080829417,-57.79740684733696,79.87358673737617,-22.027928905134186,19.21555700245428,87.9909163382017
21,-582.6288386768051,104.0168180421398,242.2656969831795,-25.093115323194866,-23.188975042139802,-2.6041509831796077,-28.46937791710283,-66.74682848921483,88.08010150246889,-21.287687923788813,20.38765477269898,87.99374962319597
22,-565.5112818697389,194.624767972919,262.7984473247263,-25.445915130261028,-23.012918972918982,-2.8287513247262837,-37.49825788739273,-65.3875332883849,82.90634608348446,-17.438181649371728,11.358779836840437,87.95742729785376
23,-576.2721947939867,262.82189085210797,255.1973873323143,-25.69754320601328,-22.934672852108065,-2.9159903323142657,-42.055410684847466,-59.378842281298816,74.9091994867361,-15.39626372033789,6.801634397730863,87.9033293128675
24,-531.1192227092454,253.94024698306288,278.9780240594602,-25.627514290754675,-22.958493983062965,-2.7850060594602155,-44.50715610269622,-66.03276849048538,81.3873247557136,-15.145181941116105,4.349899492137519,87.82770791747919
25,-511.29043509020624,285.075852239079,260.7067921033305,-25.619584909793787,-23.067716239079004,-2.794965103330526,-48.231343081502445,-64.82790472442944,82.40413259501946,-16.12228637421075,0.625885172222759,86.58262434396758
26,-494.13294535625965,364.5358016593532,250.6327904069729,-25.868774643740323,-22.869131659353172,-2.8359924069729914,-54.544236376381164,-59.59850451794635,75.94796267914171,-16.509722423295223,-5.687231364272074,88.19595465834584
27,-484.09054941382726,370.424624619327,316.9117706698346,-26.115007586172794,-22.487712619327,-2.903125669834594,-55.67092320502742,-61.965351482255215,69.68754999263814,-7.856046247319303,-6.813914845137992,88.169381460295
28,-472.3697242936834,335.3265643023871,335.8003633147814,-26.085951706316507,-22.552535302387128,-2.667240314781452,-54.62513896369781,-67.0316937781539,74.35399796140938,-7.4803144735018545,-5.76813397908963,88.19368938038393
29,-514.3954088345185,341.2291331600559,323.8424766012883,-26.242067165481444,-22.588061160055872,-2.9882636012882813,-51.61756186886601,-61.82537106888584,68.45537535860043,-6.959731570321395,-2.7605807242199383,88.36582377131185
30,-544.1993581586753,355.6204620023546,301.1630857227648,-26.295262841324757,-22.64245400235461,-3.0501717227647873,-50.28860734342916,-56.743729189397925,63.879405367962654,-7.7712964395491815,-1.4316686329118251,88.67190098751604
31,-572.7781302269223,340.5848856848679,323.44705175438884,-26.489185773077793,-22.58571068486799,-3.138718754388833,-47.430327977020646,-54.719804312489565,57.34826128984071,-1.990375636117154,1.4267836106981382,87.39859550715224
32,-554.6709218245,404.4445479624178,293.3823721237258,-26.516102175499896,-22.463006962417808,-3.1721471237258356,-52.27942886624494,-50.1300189573974,54.11988575628657,-4.255915942996286,-3.4224371743012227,88.3020538820591
33,-432.9973349388468,453.8216696859842,242.0575447430042,-26.011924061153195,-22.695313685984217,-2.7281947430041953,-63.8482097487105,-55.48612738566678,70.65287949286414,-15.228144954118527,-14.991191156464877,88.09578251483732
34,-420.6297908170784,505.87912104303444,211.85449552020998,-26.140009182921574,-22.656357043034518,-2.828525520209979,-66.81034998487426,-49.18464870961259,64.6021983940007,-15.46906914707385,-17.95333000677737,88.08549000073178
35,-440.9988729655696,536.1963241171684,283.0729002878579,-26.70822503443037,-22.058689117168342,-3.0295062878579415,-66.24892185328832,-44.94014635068699,46.63772399860545,-1.7507064170756117,-17.39190197012159,88.08717896804202
36,-469.6482929713968,519.0252019257335,342.2320016734688,-27.011951028603164,-21.71125792573355,-3.126673673468815,-63.50498017420811,-43.931575793505424,36.18367524451992,7.6851018931564665,-14.647961799797505,88.09723668746872
37,-376.97244763432843,404.9304764278578,226.5746222603913,-25.67074336567157,-22.970115427857877,-2.42428926039139,-66.85011939318181,-64.36420073645989,87.01733512155714,-22.70453785729013,-17.99309522764548,88.0853683862331
38,-300.3090048294289,397.12224794629,223.5093152791899,-25.63067317057113,-22.979745946289995,-2.144377279189996,-74.50959873117611,-70.02662153012426,95.7770437669134,-25.787106017694246,-25.65257637308842,88.0695474010038
