step_order,Timestamp,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x_t,y_t,z_t,rx_t,ry_t,rz_t
0,20200714163904,0.365141,-0.000212669,1.4273,1.57002,1.57007,1.57073,-90.00021045914971,-90.00021045914971,0.0,-90.00021045914971,0.0,0.0,2361.6179589999997,-1368.547187331,117.96983,-91.979171,-61.455175000000004,-92.458168
1,20200714163924,0.8,0.6,0.9,1.7453299999999998,1.5708,1.5708,-122.64448083672838,-119.45768958021073,-47.98183489121517,-12.533795543163837,22.551275041672124,-0.10763355956209593,1684.4797,-1665.9456,-416.71103,-92.027993,-51.246157,-92.496809
2,20200714163933,0.8,0.6,0.9,1.5708,1.7453299999999998,1.5708,-123.78867755360461,-116.15573380687178,-53.01160219155062,-10.777909084205916,33.73432258281505,-10.108293309036522,1686.0735,-1663.6997,-416.83957,-92.157943,-61.510872000000006,-102.79188
3,20200714163940,0.8,0.6,0.9,1.5708,1.91986,1.5708,-123.79268825817054,-116.13453436845197,-53.0137221353926,-10.917882673556376,33.742573175064926,-19.958641018705148,1686.0477,-1663.6415,-416.81712,-92.304736,-61.657359,-112.92652000000001
4,20200714163947,0.8,0.6,0.9,1.5708,2.0944,1.5708,-123.78008318667766,-116.13739915742761,-53.02403537570496,-10.85955557001206,33.71776410253576,-30.016915112226748,1686.2031,-1663.666,-416.82874999999996,-92.249367,-61.799429,-122.86933
5,20200714163954,0.8,0.6,0.9,1.5708,2.26893,1.5708,-123.78008318667766,-116.13568028404221,-53.02472292505911,-10.860873372940858,33.74045323122294,-39.95446699831429,1686.2033000000001,-1663.6381,-416.80631999999997,-92.239242,-61.96729700000001,-132.82027
6,20200714164018,0.8,0.6,0.8,1.0472,1.5708,1.5708,-129.57154057986003,-110.23707978317039,-71.49711142319491,1.7522309882249862,69.50952083188609,-0.0706141834608983,1689.2676000000001,-1654.2362999999998,-515.8218599999999,-149.32484,-90.89863700000001,-150.3198
7,20200714164027,0.8,0.6,0.8,1.22173,1.5708,1.5708,-127.29288742862474,-111.15152042419918,-70.23603131611198,1.4325778343214999,57.23212390204329,-0.020535208447945295,1689.0694,-1657.2984,-515.78708,-93.81910199999999,-81.254525,-94.60549900000001
8,20200714164037,0.8,0.6,0.8,1.39626,1.5708,1.5708,-125.34654979856533,-112.77528281559994,-67.96196182723773,0.8042150204015261,45.3344833988132,-0.1336979826203922,1688.3702,-1659.9879999999998,-516.0343599999998,-92.46422,-71.27345600000001,-93.21556000000001
9,20200714164046,0.8,0.6,0.8,1.5708,1.5708,1.5708,-123.7829479756533,-115.08659456115768,-64.62219083942017,-0.38253527191909414,33.714383651544495,0.011672983751759288,1686.7959,-1662.8289,-516.43782,-92.30444800000001,-61.284171,-92.882745
