step_order,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x_t,y_t,z_t,rx_t,ry_t,rz_t
0,-0.000181978,-0.365141,1.4273,1.57005,1.56969,-0.000186977,-179.9998479605043,-90.00021045914971,0.0,-90.00021045914971,0.0,0.0,383.971411978,-3240.3910589999996,200.29891,-91.749613,-21.682665,-90.157201023
1,0.0103459,-0.480444,1.00632,3.10253,1.66683,1.57927,-234.02117367441394,-154.38920747595162,97.33005953225833,-116.3677281910702,56.880385111612476,-3.856206496458736,335.1374341,-3133.887256,-222.16719999999998,-87.30605,-24.393665000000002,-89.824879
2,-0.0051336,-0.413612,0.846258,3.60029,1.58947,1.66501,-209.3828425681983,-161.82734557233996,116.10130281633435,-127.77073422976385,8.50739193366149,-6.000357805287059,366.9935136,-3193.509388,-380.78619799999996,-92.666075,-0.79107294,-91.414451
3,-0.0798171,-0.454235,0.841657,3.16162,1.78563,1.71706,-255.99066737091024,-169.94615752934374,117.84309451353207,-115.50829149837396,83.30347974966065,-1.2540957515602973,430.9520971,-3126.274965,-388.703087,-79.55622,-28.424122,-85.513892
4,-0.209376,-0.414683,1.1511,3.68361,1.4079,1.58468,-255.86748144495712,-136.0253371842136,72.28492839149979,-127.4355539196123,45.783968789093336,2.937445753654656,555.5297360000001,-3120.965917,-73.143056,-101.859378,9.090933,-95.14610900000001
5,-0.0998344,-0.519876,0.956268,3.49177,1.59286,1.40997,-241.8065241946516,-160.4952186986608,98.57968048343865,-115.87899519182362,32.49610349175782,-1.462526338272988,416.68961440000004,-3060.0843240000004,-270.606828,-92.325246,7.546503700000001,-91.378483
6,-0.0498899,-0.434082,1.1654,3.54751,1.4202,1.65406,-224.8595785302721,-132.75890479417276,70.59069219129795,-135.37560304453527,27.18123239256528,12.229096587713265,401.7909199,-3158.439218,-59.127562999999995,-101.533991,-2.6747341000000002,-95.56745000000001
7,0.111983,-0.722976,1.04393,2.96633,1.52898,1.70347,-246.608483475643,-156.89188712508306,72.8836692874115,-98.37055088821592,84.21849334848457,0.6075071501772118,160.497467,-2938.297024,-183.21642,-96.216076,-39.169477,-93.456544
8,0.263361,-0.734831,0.814484,3.72806,1.46633,1.63596,-222.8719879389633,-177.6856714259709,88.21773875849772,-111.98116331154861,13.730876264530666,17.511767458819456,2.2196091,-2982.4109689999996,-411.977204,-98.829587,8.539219000000001,-94.37308999999999
9,0.365175,-0.60568,1.02865,3.69173,1.5286,1.71879,-207.9160706126634,-157.8928443931766,70.21884258225803,-115.58220305394585,5.2365076615524995,21.84963092575492,-49.030634,-3139.89342,-199.47278,-95.832469,1.4420229999999998,-93.14843499999999
10,-0.0812507,-0.492617,1.04211,3.74649,1.55857,1.4716,-233.197833322811,-152.30421405947055,87.74905928208071,-118.04534861521326,12.814029200762324,2.0926996988255753,405.6186307,-3091.2976830000002,-184.40947,-94.36864,18.796944,-91.842653
11,0.0956772,-0.75947,1.093,3.1145,1.53382,1.47519,-242.17608197251099,-152.2245729259474,62.328067827716346,-92.60659546919983,58.219387478833205,1.3247529068558304,157.16425279999999,-2901.41013,-134.18802,-95.487802,-17.714755999999998,-92.266154
12,-0.249974,-0.761883,0.978222,3.22869,1.34014,1.7128,-279.4108902046778,-159.73776849349787,69.73240141419197,-103.45727019338736,102.05180472193145,-4.076331151770047,485.242854,-2779.274717,-244.638952,-107.64916,-23.724424000000003,-98.688821
13,-0.317463,-0.836962,0.947722,3.58889,1.90922,1.72264,-277.9687554343335,-171.6295075314381,70.17300595864758,-60.86645249233761,80.15851441218756,5.49775349782035,517.6278629999999,-2685.870038,-284.076822,-76.287637,-3.6636986,-82.684944
14,0.147556,-0.708406,1.07489,3.17859,1.42709,1.47734,-233.54733757784078,-151.4573824382672,66.08323321700377,-105.98172223873377,46.57911961717589,7.501278045411764,125.438024,-2967.185794,-150.70873,-101.766477,-13.797997,-93.910693
15,0.0675908,-0.777794,0.776195,3.55923,1.30933,1.67324,-241.88501941258448,-178.2225328800085,94.84857932154674,-116.23079127803393,44.755853321510585,7.941538815190289,174.69785919999998,-2875.029406,-447.080965,-107.29032,-2.4941704,-98.396726
