step_order,Timestamp,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,measurement_temperature,x_set,y_set,z_set,rx_set,ry_set,rz_set
0,20200714163904,0.365141,-0.000212669,1.4273,1.57002,1.57007,1.57073,-1.5708,-1.5708,0.0,-1.5708,0.0,0.0,23.6800003051758,2361.6179589999997,-1368.547187331,117.96983,-91.979171,-61.455175000000004,-92.458168
1,20200714163924,0.8,0.6,0.9,1.7453299999999998,1.5708,1.5708,-2.14055,-2.08493,-0.837441,-0.218756,0.393594,-0.00187856,23.6800003051758,1684.4797,-1665.9456,-416.71103,-92.027993,-51.246157,-92.496809
2,20200714163933,0.8,0.6,0.9,1.5708,1.7453299999999998,1.5708,-2.16052,-2.0273,-0.925227,-0.18811,0.588775,-0.176423,23.6800003051758,1686.0735,-1663.6997,-416.83957,-92.157943,-61.510872000000006,-102.79188
3,20200714163940,0.8,0.6,0.9,1.5708,1.91986,1.5708,-2.16059,-2.02693,-0.925264,-0.190553,0.588919,-0.348344,23.6800003051758,1686.0477,-1663.6415,-416.81712,-92.304736,-61.657359,-112.92652000000001
4,20200714163947,0.8,0.6,0.9,1.5708,2.0944,1.5708,-2.16037,-2.02698,-0.925444,-0.189535,0.588486,-0.523894,23.6800003051758,1686.2031,-1663.666,-416.82874999999996,-92.249367,-61.799429,-122.86933
5,20200714163954,0.8,0.6,0.9,1.5708,2.26893,1.5708,-2.16037,-2.02695,-0.925456,-0.189558,0.588882,-0.697337,23.6800003051758,1686.2033000000001,-1663.6381,-416.80631999999997,-92.239242,-61.96729700000001,-132.82027
6,20200714164018,0.8,0.6,0.8,1.0472,1.5708,1.5708,-2.26145,-1.924,-1.24786,0.0305822,1.21317,-0.00123245,23.6800003051758,1689.2676000000001,-1654.2362999999998,-515.8218599999999,-149.32484,-90.89863700000001,-150.3198
7,20200714164027,0.8,0.6,0.8,1.22173,1.5708,1.5708,-2.22168,-1.93996,-1.22585,0.0250032,0.998889,-0.000358407,23.6800003051758,1689.0694,-1657.2984,-515.78708,-93.81910199999999,-81.254525,-94.60549900000001
8,20200714164037,0.8,0.6,0.8,1.39626,1.5708,1.5708,-2.18771,-1.9683,-1.18616,0.0140362,0.7912359999999999,-0.00233347,23.6800003051758,1688.3702,-1659.9879999999998,-516.0343599999998,-92.46422,-71.27345600000001,-93.21556000000001
9,20200714164046,0.8,0.6,0.8,1.5708,1.5708,1.5708,-2.16042,-2.00864,-1.1278700000000002,-0.0066765,0.588427,0.000203732,23.6800003051758,1686.7959,-1662.8289,-516.43782,-92.30444800000001,-61.284171,-92.882745
10,20200714164055,0.8,0.6,0.8,1.7453299999999998,1.5708,1.5708,-2.14096,-2.05932,-1.05289,-0.0315325999999999,0.394854,0.00181936,23.6800003051758,1685.1566,-1664.9496,-516.80057,-92.14226599999999,-51.273027,-92.54518
11,20200714164110,0.8,0.6,0.8,1.5708,0.8726649999999999,1.5708,-2.16058,-2.00835,-1.12844,-0.00581438,0.5897939999999999,0.6969479999999999,23.6800003051758,1686.7887,-1662.9381999999998,-516.2870400000002,-92.180154,-60.746682,-52.861785999999995
12,20200714164117,0.8,0.6,0.8,1.5708,1.0472,1.5708,-2.16039,-2.00867,-1.1278700000000002,-0.00567085,0.588151,0.522926,23.6800003051758,1686.8266,-1662.9080999999999,-516.28625,-92.18789600000001,-60.809461999999996,-62.807047
13,20200714164124,0.8,0.6,0.8,1.5708,1.22173,1.5708,-2.16061,-2.00843,-1.1284299999999998,-0.00565893,0.589518,0.34907,23.6800003051758,1686.8095,-1662.8093,-516.43089,-92.22695300000001,-61.038031000000004,-72.878352
14,20200714164130,0.8,0.6,0.8,1.5708,1.39626,1.5708,-2.16033,-2.00868,-1.1279,-0.0055153999999999,0.587719,0.173754,23.6800003051758,1686.9091,-1662.8213999999998,-516.3774700000001,-92.218102,-61.11291400000001,-82.90881800000001
15,20200714164144,0.8,0.6,0.8,1.5708,1.7453299999999998,1.5708,-2.16055,-2.00831,-1.12851,-0.00603038,0.589086,-0.174867,23.6800003051758,1686.9673,-1662.6410000000003,-516.44864,-92.29194100000001,-61.490968,-102.93570000000001
16,20200714164151,0.8,0.6,0.8,1.5708,1.91986,1.5708,-2.16033,-2.0091,-1.1279,-0.00246221,0.588654,-0.351264,23.6800003051758,1686.996,-1662.7215999999999,-516.4598,-92.076231,-61.627267,-112.75917000000001
17,20200714164158,0.8,0.6,0.8,1.5708,2.0944,1.5708,-2.16047,-2.0083900000000003,-1.12858,-0.00556308,0.589554,-0.5220640000000001,23.6800003051758,1686.9565,-1662.7294,-516.5564499999999,-92.28220200000001,-61.840613,-122.82785000000001
18,20200714164204,0.8,0.6,0.8,1.5708,2.26893,1.5708,-2.16047,-2.00888,-1.12789,-0.00452167,0.588534,-0.698511,23.6800003051758,1686.9431,-1662.5751,-516.4472099999999,-92.194305,-61.937422000000005,-132.80998999999997
19,20200714164220,0.8,0.6,0.8,1.5708,1.5708,1.39626,-2.14082,-2.05991,-1.05252,-0.0276416,0.394818,-0.00317079,23.6800003051758,1685.2812000000001,-1665.0289,-516.80035,-91.841668,-51.28848,-92.351494
20,20200714164224,0.8,0.6,0.8,1.5708,1.5708,1.43117,-2.14406,-2.04888,-1.0689,-0.0258454,0.431857,0.000323574,23.6800003051758,1685.4541000000002,-1664.5692999999999,-516.9149,-92.02057400000001,-53.231777,-92.525379
21,20200714164229,0.8,0.6,0.8,1.5708,1.5708,1.4660799999999998,-2.14766,-2.03803,-1.08494,-0.0203975,0.470298,0.0003591519999999,23.6800003051758,1685.8869,-1664.0979999999995,-516.8686299999999,-92.084056,-55.257931000000006,-92.60010000000001
22,20200714164233,0.8,0.6,0.8,1.5708,1.5708,1.50098,-2.15173,-2.02783,-1.10024,-0.0136207,0.510608,-0.00181896,23.6800003051758,1686.2185,-1663.7017999999998,-516.8539599999999,-92.08023800000001,-57.343651,-92.683477
23,20200714164237,0.8,0.6,0.8,1.5708,1.5708,1.53589,-2.15573,-2.0186900000000003,-1.11398,-0.00728685,0.548469,-0.00318271,23.6800003051758,1686.5570000000002,-1663.2963,-516.7194,-92.046698,-59.305304,-92.675967
