step_order,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x_set,y_set,z_set,rx_set,ry_set,rz_set
0,-0.000181978,-0.365141,1.4273,1.57005,1.56969,-0.000186977,-3.14159,-1.5708,0.0,-1.5708,0.0,0.0,383.971411978,-3240.3910589999996,200.29891,-91.749613,-21.682665,-90.157201023
1,0.0103459,-0.480444,1.00632,3.10253,1.66683,1.57927,-4.08444,-2.6946,1.69873,-2.031,0.99275,-0.0673035,335.1374341,-3133.887256,-222.16719999999998,-87.30605,-24.393665000000002,-89.824879
2,-0.0051336,-0.413612,0.846258,3.60029,1.58947,1.66501,-3.65442,-2.82442,2.02635,-2.23002,0.148482,-0.104726,366.9935136,-3193.509388,-380.78619799999996,-92.666075,-0.79107294,-91.414451
3,-0.0798171,-0.454235,0.841657,3.16162,1.78563,1.71706,-4.46788,-2.96612,2.05675,-2.016,1.45392,-0.0218881,430.9520971,-3126.274965,-388.703087,-79.55622,-28.424122,-85.513892
4,-0.209376,-0.414683,1.1511,3.68361,1.4079,1.58468,-4.46573,-2.37409,1.26161,-2.22417,0.799081,0.0512681,555.5297360000001,-3120.965917,-73.143056,-101.859378,9.090933,-95.14610900000001
5,-0.0998344,-0.519876,0.956268,3.49177,1.59286,1.40997,-4.22032,-2.80117,1.72054,-2.02247,0.567164,-0.0255259,416.68961440000004,-3060.0843240000004,-270.606828,-92.325246,7.546503700000001,-91.378483
6,-0.0498899,-0.434082,1.1654,3.54751,1.4202,1.65406,-3.92454,-2.31708,1.23204,-2.36275,0.474402,0.213438,401.7909199,-3158.439218,-59.127562999999995,-101.533991,-2.6747341000000002,-95.56745000000001
7,0.111983,-0.722976,1.04393,2.96633,1.52898,1.70347,-4.30413,-2.73828,1.27206,-1.71689,1.46989,0.010603,160.497467,-2938.297024,-183.21642,-96.216076,-39.169477,-93.456544
8,0.263361,-0.734831,0.814484,3.72806,1.46633,1.63596,-3.88985,-3.1012,1.53969,-1.95444,0.239649,0.305638,2.2196091,-2982.4109689999996,-411.977204,-98.829587,8.539219000000001,-94.37308999999999
9,0.365175,-0.60568,1.02865,3.69173,1.5286,1.71879,-3.62882,-2.75575,1.22555,-2.01729,0.0913943,0.381348,-49.030634,-3139.89342,-199.47278,-95.832469,1.4420229999999998,-93.14843499999999
10,-0.0812507,-0.492617,1.04211,3.74649,1.55857,1.4716,-4.07007,-2.65821,1.53151,-2.06028,0.223647,0.0365245,405.6186307,-3091.2976830000002,-184.40947,-94.36864,18.796944,-91.842653
11,0.0956772,-0.75947,1.093,3.1145,1.53382,1.47519,-4.22677,-2.65682,1.08783,-1.61629,1.01612,0.0231213,157.16425279999999,-2901.41013,-134.18802,-95.487802,-17.714755999999998,-92.266154
12,-0.249974,-0.761883,0.978222,3.22869,1.34014,1.7128,-4.87664,-2.78795,1.21706,-1.80567,1.78114,-0.0711454,485.242854,-2779.274717,-244.638952,-107.64916,-23.724424000000003,-98.688821
13,-0.317463,-0.836962,0.947722,3.58889,1.90922,1.72264,-4.85147,-2.9955,1.22475,-1.06232,1.39903,0.0959539,517.6278629999999,-2685.870038,-284.076822,-76.287637,-3.6636986,-82.684944
14,0.147556,-0.708406,1.07489,3.17859,1.42709,1.47734,-4.07617,-2.64343,1.15337,-1.84973,0.812959,0.130922,125.438024,-2967.185794,-150.70873,-101.766477,-13.797997,-93.910693
15,0.0675908,-0.777794,0.776195,3.55923,1.30933,1.67324,-4.22169,-3.11057,1.65542,-2.02861,0.781137,0.138606,174.69785919999998,-2875.029406,-447.080965,-107.29032,-2.4941704,-98.396726
16,-0.268718,-0.527464,0.737265,3.78747,1.2584,1.57832,-4.67094,-3.06,1.99863,-2.40088,0.891888,0.0126857,572.4665180000001,-2993.640436,-484.827525,-108.68066,16.141098,-98.21529500000001
17,-0.259031,-0.779969,1.0989,3.55976,1.6801,1.73395,-4.78656,-2.68953,1.01099,-1.36198,1.38755,0.0251912,482.308211,-2760.191331,-129.76147999999998,-87.998729,-6.9914703,-88.82738
18,0.111567,-0.520133,0.74674,2.9338,1.58491,1.42357,-3.898,-3.10065,2.11847,-2.14033,0.816293,-0.0167416,227.970823,-3131.462867,-480.43047,-92.19108800000001,-25.09115,-91.512169
19,-0.344075,-0.797672,0.93071,3.65089,1.62198,1.66001,-4.86719,-2.96305,1.30401,-1.4365,1.30444,0.0119554,554.368825,-2714.3884279999997,-296.95524,-91.198719,2.4133049,-90.564599
20,-0.358449,-0.821096,1.2,3.0065,1.84304,1.44006,-5.0049,-2.40731,0.320373,-0.773185,1.8607,0.044327,566.122049,-2686.034304,-31.020963,-76.77765600000001,-21.680494,-88.031423
